Burdiehouse Street,27/01/2011,3,1,1,1,1,2,1,0,0,1,0,0,0,1,0,1,0,0,0
Blinkbonny Grove West,02/02/2011,3,1,1,1,3,3,1,0,0,1,0,0,0,1,0,0,0,0,0
Kingsknowe Terrace,11/02/2011,3,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Nicolson Street,21/06/2010,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
"Main Street, Balerno",22/02/2011,4,1,1,1,1,2,1,2,0,1,0,0,0,1,0,0,0,0,0
South Lauder Road,27/01/2011,3,1,1,1,1,3,1,0,0,1,0,0,0,1,0,0,0,0,0
Durham Drive,24/06/2008,3,1,1,1,2,1,1,0,0,0,1,0,1,1,0,0,0,0,0
Pentland View,21/10/2009,3,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0
Wester Drylaw Avenue,29/04/2008,3,2,1,1,2,2,1,0,0,1,0,1,0,1,0,0,0,1,0
Main Street Ratho,,3,1,1,1,2,1,1,1,0,1,0,1,0,1,0,0,0,0,0
Corruna Place,20/10/2009,3,1,1,1,2,2,1,0,0,1,1,0,0,1,1,0,1,0,0
Saughton Park,28/04/2010,3,1,1,1,3,3,1,0,0,0,1,1,0,1,0,0,0,0,0
Leamingston Terrace,26/04/2010,2,1,1,2,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0
Boswall Terrace,29/04/2008,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Carrick Knowe Road,28/04/2010,3,2,1,1,3,3,1,0,0,0,1,0,0,1,0,0,0,1,0
Elliot Place,28/04/2009,3,1,1,1,2,3,1,0,0,0,1,0,1,1,0,0,0,0,0
Craigcrook Terrace ,11/06/2010,3,1,1,1,2,2,1,2,1,1,1,0,0,1,0,0,0,0,0
Granton Crescent,29/04/2008,3,2,1,1,2,2,1,1,0,1,0,0,0,1,0,0,0,1,0
Duddingston Rd West,,3,1,1,1,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0
Gullans Close,,1,1,1,1,1,2,1,0,0,1,0,0,0,1,0,0,0,0,0
Dublin Street,09/06/2010,2,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Roull Place,22/02/2011,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
East Farm Of Gilmerton,24/06/2008,3,1,1,1,2,1,1,0,0,1,1,1,0,1,0,0,0,0,0
Beaverhall Road,30/06/2009,2,2,3,3,4,3,3,0,0,1,1,1,1,1,1,1,0,1,0
Marchbank Gardens,18/08/2008,3,1,1,1,2,2,1,0,0,1,0,0,0,1,0,0,0,0,0
Mearenside,18/08/2008,3,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Gogarloch Bank,28/04/2010,3,1,1,1,2,2,1,0,0,0,0,1,0,1,0,0,0,0,0
Salamander Yards ,18/06/2010,2,1,1,1,1,2,1,0,0,1,1,1,0,1,0,0,0,0,0
Pennywell Gardens,24/06/2010,2,1,1,1,2,2,1,0,0,1,0,0,0,1,0,0,0,0,0
Promenade Portobello,25/02/2009,2,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Greenend Drive,22/04/2009,3,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Redbraes Place,,2,1,1,1,1,2,1,0,0,1,0,0,1,1,0,0,0,0,0
Granton Gardens,,3,2,2,2,2,2,1,0,0,1,1,1,1,1,0,1,0,1,0
Silverknowes Avenue,28/04/2009,3,1,1,1,2,2,1,0,0,1,1,0,0,1,0,0,0,0,0
Parkside,,2,1,1,1,1,2,1,0,0,1,0,1,0,1,0,0,0,0,0
