Street Name,Date,Time,Grade,Zone,Dogfoul,Vandalism,Graffiti,Weeds,Detritus,Fly Posting,Bin Count,Number Overflowing,Smoking,Drinks,Confectionery,Fast Food,Pedestrian Individual,Business,Domestic,Construction,Animal Faeces,Other
Orchard Road,19/08/2008,10:00,B,3,1,1,1,2,2,1,0,0,1,0,1,0,1,0,0,0,0,0
Comely Bank Row,19/08/2008,10:10,A,2,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
East Fettes Avenue,19/08/2008,10:17,C,3,1,1,1,2,2,1,0,0,1,1,1,0,1,0,0,1,0,0
Pilton Drive,19/08/2008,10:25,B,2,1,1,1,2,2,1,0,0,1,0,1,0,1,0,0,0,0,0
Boswall Quadrant,19/08/2008,10:33,A,3,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Bangholm Avenue,19/08/2008,10:40,B,3,1,1,1,2,2,1,0,0,1,0,1,0,1,0,0,0,0,0
Albert Street,19/08/2008,11:05,B,2,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0
Spey Street,19/08/2008,11:15,B,2,2,1,1,2,2,1,0,0,1,1,0,0,1,0,0,0,1,0
Dryden Street,19/08/2008,11:23,B,2,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0
Spiers Place,19/08/2008,11:40,B,3,2,1,1,2,2,1,0,0,1,1,1,0,1,0,0,0,1,0
Prospect Bank Crescent,19/08/2008,12:00,C,2,1,1,1,2,2,1,0,0,1,1,0,0,1,0,0,0,0,1
Dean path Buildings,19/08/2008,12:25,B,2,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0
Kirkgate,19/08/2008,11:47,B,2,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0
Warriston Farm Road,19/08/2008,14:10,B,4,1,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0
BROOMHOUSE ROW,18/08/2008,11:30,C,2,2,2,2,3,3,1,0,0,1,1,1,0,1,0,0,0,1,0
SHANDON PLACE,18/08/2008,10:35,B,2,2,1,1,2,2,1,0,0,1,0,1,1,1,0,0,0,1,0
